"Timestamp","Name","Email","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Preferred Languages","Preferred Member 1","Preferred Member 2"
"2017/04/20 5:32:55 PM MDT","Peter Pan","pan@peter.com","10;11;12","10;11;12","16;17","","16;17","10;11;12","15;16;17","C/C++","Johnathan Swift","Rick Shwift"
"2017/04/20 5:34:47 PM MDT","Johnathan Swift","","8;9;15;16","8;9","8;9;14;15","8;9;16","10","10;11;12;16;17","15;16","C/C++;Java","Peter Pan","Mathhew Johnson"
"2017/04/20 5:38:37 PM MDT","Cop Robo","","12;13;14","12;13;14;17;18","12;13;14","16;17;18","10;11;12","9;10;11;12;13;14","16;17","C/C++;Java","Mouglie Wile","Taylor Swifty"
"2017/04/20 5:40:06 PM MDT","Mogger Frogger","","10;11;15;16","10;11;14","15;16;17","10;11;12","10;11;12;15","9;17;18","9;10;16;17;18","Python","Taylor Swifty","Vladimer Putina"
"2017/04/20 5:41:34 PM MDT","Taylor Swifty","","8;9;19","19;20","8;9;19","19;20","9;10;11","12","15;16","Python","Cop Robo","Mouglie Wile"
"2017/04/20 5:42:38 PM MDT","Rick Shwift","","10;11;12;15;16;17","","10;11;12;13;15","","10","8;9;18;19","8;9;18;19","C/C++;Java","Peter Pan","Johnathan Swift"
"2017/04/20 5:44:07 PM MDT","Vladimer Putina","","11;12;15","16;17","11;12","16;17;18","10","11;12;13;14;15","10;11;12;13","C/C++;Python","This Ismyname","Diana Troy"
"2017/04/20 5:45:21 PM MDT","Isterrible Rejae","","14;15","10;12;13;17","10;11;15;16;17","11;12;17;18","16;17;18","13;14;15;16","17;18","Python","Peter Quill","James Kirk"
"2017/04/20 5:46:18 PM MDT","Mathew Johnson","","8","8;9","8;9","8","8;9;17","8;9;10;11","8;9;10;11","C/C++;Python;Java","Martha Wayne","Bruce Wayne"
"2017/04/21 11:23:37 AM MDT","William Ryker","wryker@enterprised.com","9;10;11;15;16","10;11;12;16;17","10;11;13","10;11;12","10;11;12;16","13;14;15;16;17","15;16;17;18","Java","Diana Troy","Jean-luc Picard"
"2017/04/21 11:25:49 AM MDT","Diana Troy","dtroy@enterprised.com","13;14;15","9;13;17","10;11;16;17","10;11;12;13;14;15","12;13;15","","9;10;15;16;17","Python","Jean-luc Picard","Data Soohng"
"2017/04/21 11:27:27 AM MDT","Data Soohng","data@enterprised.com","13;14;16;17;19;20","11;12;13","","9;12;15;18","13;14;15;18;19","12;13;14;16;17","","C/C++;Python;Java","Jean-luc Picard","Diana Troy"
"2017/04/21 11:30:02 AM MDT","This Ismyname","this@ismyname.org","11;12;13","","12;14;15;16","14;15;16;17","11;12;16;17;18","8;9;10;16;17","12;15;18","C/C++;Java","Isterrible Rejae","Peter Pan"
"2017/04/21 11:32:35 AM MDT","Doloras Umbridge","dumbridge@ministryofmagic.gov","12;13;14;18;19","8;9;10;16;17","","9;10;13;15;17","10;17","10;11;12;13;14;15;16","","Python;Java","",""
"2017/04/21 11:34:34 AM MDT","Ghengis Khan","gtothek@worldruler.com","","14","16","14","","14;15","9","C/C++;Python","Cop Robo","Bruce Wayne"
"2017/04/21 11:36:59 AM MDT","Commander Shepard","shepardc@thecitadelspecter.gov","10;16;17","11;15","","12;15;19","","15;17;20","18;19;20","Java","Peter Quill","Rick Schwift"
"2017/04/21 11:39:27 AM MDT","Dog Man","doggon@manordog.com","16;17;18;19;20","16;17;18;19;20","15;16;17","13;15;17","15;16;17","8;13;14;20","8;9;10;11;12;13;14;15;16","C/C++;Python;Java","Man Bearpig","Dawg Eatdawg"
"2017/04/21 11:41:19 AM MDT","Man BearPig","bearpigm@southpark.net","10;13;18","8;10;12","10;13","13;16","10;11;12","11;14;18","10;12;16","Python","Peter Parker","Bruce Banner"
"2017/04/21 11:45:40 AM MDT","Dawg Eatdawg","dogedog@cruelworld.com","11;12;13;14;15","12;13;16","11;12;13;14","12;13;16","11;12;13;15;16","10;11;12;13;14;15;16;17","10;11;12;13;14;15;16;17","C/C++;Python","Jane Doe","Taylor Swifty"
